Id Cuenta;Marca;Nombre;Cantidad;;;;;;
3765;Marca_2;Producto_2236;6;;;;;;
3469;Marca_4;Producto_2814;20;;;;;;
173;Marca_5;Producto_2098;26;;;;;;
795;Marca_4;Producto_3304;70;;;;;;
3516;Marca_2;Producto_3334;20;;;;;;
3561;Marca_5;Producto_4333;2;;;;;;
2681;Marca_4;Producto_4249;19;;;;;;
833;Marca_3;Producto_4271;19;;;;;;
1379;Marca_3;Producto_4793;40;;;;;;
248;Marca_2;Producto_3448;50;;;;;;
467;Marca_1;Producto_4445;21;;;;;;
1286;Marca_3;Producto_2894;14;;;;;;
313;Marca_5;Producto_1061;12;;;;;;
819;Marca_4;Producto_4511;10;;;;;;
1383;Marca_5;Producto_1006;35;;;;;;
3597;Marca_2;Producto_3025;17;;;;;;
3052;Marca_1;Producto_3427;6;;;;;;
3605;Marca_4;Producto_371;6;;;;;;
512;Marca_1;Producto_3781;21;;;;;;
2107;Marca_5;Producto_3671;52;;;;;;
3899;Marca_4;Producto_1401;2;;;;;;
958;Marca_4;Producto_3028;2;;;;;;
865;Marca_5;Producto_71;56;;;;;;
405;Marca_4;Producto_429;1;;;;;;
3128;Marca_2;Producto_218;6;;;;;;
3083;Marca_4;Producto_3915;1;;;;;;
570;Marca_5;Producto_2872;23;;;;;;
3653;Marca_1;Producto_1113;5;;;;;;
933;Marca_3;Producto_1212;36;;;;;;
336;Marca_1;Producto_1031;40;;;;;;
3445;Marca_3;Producto_4147;7;;;;;;
3321;Marca_1;Producto_2707;57;;;;;;
542;Marca_5;Producto_3863;8;;;;;;
2873;Marca_4;Producto_593;7;;;;;;
18;Marca_5;Producto_2008;6;;;;;;
2636;Marca_2;Producto_668;1;;;;;;
3293;Marca_2;Producto_1182;22;;;;;;
362;Marca_2;Producto_2826;15;;;;;;
958;Marca_1;Producto_4723;19;;;;;;
433;Marca_3;Producto_381;8;;;;;;
1910;Marca_1;Producto_3032;18;;;;;;
1070;Marca_5;Producto_4635;9;;;;;;
308;Marca_4;Producto_3938;16;;;;;;
2256;Marca_5;Producto_3175;13;;;;;;
3120;Marca_1;Producto_1468;45;;;;;;
2744;Marca_1;Producto_1461;28;;;;;;
3242;Marca_2;Producto_65;7;;;;;;
2921;Marca_5;Producto_2739;64;;;;;;
3973;Marca_3;Producto_3235;8;;;;;;
826;Marca_5;Producto_2207;7;;;;;;
2198;Marca_4;Producto_119;52;;;;;;
3153;Marca_2;Producto_1056;53;;;;;;
2937;Marca_1;Producto_872;43;;;;;;
3949;Marca_5;Producto_2940;35;;;;;;
299;Marca_4;Producto_2093;4;;;;;;
389;Marca_1;Producto_12;24;;;;;;
1289;Marca_3;Producto_4750;81;;;;;;
3966;Marca_1;Producto_3793;9;;;;;;
1738;Marca_4;Producto_1281;60;;;;;;
