Id Cuenta;Marca;Nombre;Cantidad;;;;;;
1855;Marca_5;Producto_1113;5;;;;;;
3402;Marca_4;Producto_1086;3;;;;;;
2380;Marca_2;Producto_1266;36;;;;;;
3379;Marca_1;Producto_4355;4;;;;;;
1702;Marca_2;Producto_755;71;;;;;;
71;Marca_1;Producto_27;95;;;;;;
3146;Marca_3;Producto_4255;34;;;;;;
248;Marca_5;Producto_3466;11;;;;;;
1787;Marca_2;Producto_4047;7;;;;;;
3748;Marca_1;Producto_135;9;;;;;;
3013;Marca_1;Producto_2161;70;;;;;;
1354;Marca_2;Producto_2116;3;;;;;;
732;Marca_5;Producto_145;27;;;;;;
1198;Marca_1;Producto_413;2;;;;;;
2984;Marca_3;Producto_382;5;;;;;;
601;Marca_4;Producto_1664;86;;;;;;
1251;Marca_2;Producto_779;21;;;;;;
677;Marca_3;Producto_4447;41;;;;;;
1052;Marca_5;Producto_2119;43;;;;;;
1556;Marca_1;Producto_1053;8;;;;;;
424;Marca_3;Producto_2183;1;;;;;;
2096;Marca_2;Producto_1819;5;;;;;;
3294;Marca_4;Producto_2131;3;;;;;;
1871;Marca_3;Producto_3197;24;;;;;;
2108;Marca_5;Producto_3994;13;;;;;;
3114;Marca_5;Producto_604;7;;;;;;
2468;Marca_4;Producto_3976;20;;;;;;
3588;Marca_1;Producto_1687;50;;;;;;
1585;Marca_3;Producto_115;15;;;;;;
3469;Marca_4;Producto_2932;27;;;;;;
634;Marca_2;Producto_1255;4;;;;;;
930;Marca_5;Producto_249;53;;;;;;
85;Marca_1;Producto_2939;5;;;;;;
3580;Marca_2;Producto_873;7;;;;;;
42;Marca_3;Producto_4142;24;;;;;;
492;Marca_4;Producto_1120;7;;;;;;
2411;Marca_2;Producto_2967;32;;;;;;
245;Marca_4;Producto_3237;16;;;;;;
3260;Marca_2;Producto_1753;10;;;;;;
761;Marca_3;Producto_3944;20;;;;;;
484;Marca_5;Producto_467;23;;;;;;
251;Marca_4;Producto_3553;39;;;;;;
3242;Marca_2;Producto_3042;4;;;;;;
3799;Marca_4;Producto_3725;12;;;;;;
1683;Marca_2;Producto_2383;55;;;;;;
1437;Marca_4;Producto_4797;28;;;;;;
3168;Marca_4;Producto_1247;7;;;;;;
3844;Marca_1;Producto_2645;17;;;;;;
1989;Marca_2;Producto_4352;14;;;;;;
30;Marca_2;Producto_3549;6;;;;;;
596;Marca_2;Producto_1911;32;;;;;;
1545;Marca_2;Producto_178;56;;;;;;
3051;Marca_3;Producto_1028;88;;;;;;
3819;Marca_4;Producto_4870;39;;;;;;
3260;Marca_2;Producto_4180;19;;;;;;
163;Marca_3;Producto_1761;37;;;;;;
950;Marca_3;Producto_3472;23;;;;;;
1184;Marca_1;Producto_1784;21;;;;;;
338;Marca_2;Producto_3028;24;;;;;;
1739;Marca_2;Producto_2055;3;;;;;;
2630;Marca_5;Producto_3116;16;;;;;;
2200;Marca_1;Producto_3864;1;;;;;;
3523;Marca_4;Producto_3173;1;;;;;;
