Id Cuenta;Marca;Nombre;Cantidad;;;;;;
3591;Marca_1;Producto_2607;13;;;;;;
294;Marca_3;Producto_1117;3;;;;;;
1823;Marca_4;Producto_1770;12;;;;;;
1152;Marca_2;Producto_2994;33;;;;;;
2184;Marca_4;Producto_3818;6;;;;;;
2532;Marca_2;Producto_1352;27;;;;;;
3039;Marca_1;Producto_2123;15;;;;;;
3606;Marca_2;Producto_792;3;;;;;;
826;Marca_4;Producto_1554;42;;;;;;
799;Marca_5;Producto_4312;18;;;;;;
2736;Marca_3;Producto_288;8;;;;;;
1730;Marca_1;Producto_3986;8;;;;;;
3243;Marca_4;Producto_1641;9;;;;;;
964;Marca_4;Producto_1144;19;;;;;;
3406;Marca_5;Producto_2517;86;;;;;;
3689;Marca_4;Producto_3745;5;;;;;;
1289;Marca_4;Producto_1815;4;;;;;;
3273;Marca_5;Producto_4002;1;;;;;;
1781;Marca_1;Producto_3943;76;;;;;;
1241;Marca_5;Producto_2794;25;;;;;;
2767;Marca_1;Producto_3994;11;;;;;;
738;Marca_3;Producto_4332;85;;;;;;
136;Marca_2;Producto_1801;69;;;;;;
3163;Marca_3;Producto_4578;43;;;;;;
3994;Marca_4;Producto_3415;22;;;;;;
3329;Marca_5;Producto_1306;51;;;;;;
903;Marca_5;Producto_398;2;;;;;;
604;Marca_2;Producto_4995;19;;;;;;
2968;Marca_1;Producto_6;27;;;;;;
3901;Marca_3;Producto_676;58;;;;;;
143;Marca_3;Producto_987;24;;;;;;
2300;Marca_5;Producto_4018;50;;;;;;
2369;Marca_1;Producto_2525;41;;;;;;
2585;Marca_2;Producto_899;1;;;;;;
3596;Marca_3;Producto_4794;32;;;;;;
2682;Marca_4;Producto_4296;11;;;;;;
3649;Marca_3;Producto_558;40;;;;;;
1436;Marca_4;Producto_1909;5;;;;;;
1483;Marca_3;Producto_4077;3;;;;;;
907;Marca_1;Producto_3591;3;;;;;;
3319;Marca_5;Producto_704;13;;;;;;
2627;Marca_2;Producto_4437;90;;;;;;
411;Marca_2;Producto_900;86;;;;;;
3990;Marca_3;Producto_1129;42;;;;;;
3510;Marca_2;Producto_609;7;;;;;;
3307;Marca_2;Producto_3093;14;;;;;;
1966;Marca_1;Producto_3142;22;;;;;;
748;Marca_4;Producto_4901;46;;;;;;
977;Marca_2;Producto_2938;24;;;;;;
3942;Marca_4;Producto_2473;34;;;;;;
1779;Marca_5;Producto_1214;2;;;;;;
2726;Marca_2;Producto_1152;2;;;;;;
2524;Marca_5;Producto_1600;22;;;;;;
2817;Marca_1;Producto_1280;5;;;;;;
2611;Marca_4;Producto_2295;49;;;;;;
3732;Marca_3;Producto_3592;71;;;;;;
3887;Marca_1;Producto_2824;3;;;;;;
3704;Marca_4;Producto_3383;2;;;;;;
2279;Marca_4;Producto_1018;22;;;;;;
728;Marca_4;Producto_653;7;;;;;;
446;Marca_5;Producto_986;17;;;;;;
1950;Marca_5;Producto_1180;4;;;;;;
3074;Marca_4;Producto_1203;7;;;;;;
2801;Marca_1;Producto_1341;3;;;;;;
1630;Marca_1;Producto_2029;35;;;;;;
3793;Marca_1;Producto_2681;4;;;;;;
1129;Marca_3;Producto_4197;41;;;;;;
656;Marca_1;Producto_1783;48;;;;;;
3096;Marca_5;Producto_3709;10;;;;;;
1338;Marca_3;Producto_3689;62;;;;;;
226;Marca_2;Producto_1700;47;;;;;;
1590;Marca_1;Producto_579;18;;;;;;
2163;Marca_4;Producto_956;38;;;;;;
1440;Marca_1;Producto_4904;24;;;;;;
2804;Marca_2;Producto_1779;3;;;;;;
1669;Marca_2;Producto_3527;55;;;;;;
1785;Marca_1;Producto_1412;3;;;;;;
923;Marca_1;Producto_4554;2;;;;;;
1457;Marca_3;Producto_4958;42;;;;;;
3353;Marca_1;Producto_703;3;;;;;;
3317;Marca_2;Producto_2745;13;;;;;;
325;Marca_1;Producto_4172;57;;;;;;
2654;Marca_3;Producto_1916;20;;;;;;
3263;Marca_5;Producto_4683;52;;;;;;
2198;Marca_2;Producto_4441;19;;;;;;
2889;Marca_2;Producto_1414;33;;;;;;
2843;Marca_5;Producto_1689;5;;;;;;
2139;Marca_1;Producto_1849;73;;;;;;
648;Marca_3;Producto_4496;41;;;;;;
1816;Marca_1;Producto_3033;7;;;;;;
3816;Marca_5;Producto_2554;11;;;;;;
2466;Marca_3;Producto_4605;9;;;;;;
2764;Marca_3;Producto_1712;6;;;;;;
3414;Marca_5;Producto_584;21;;;;;;
3789;Marca_2;Producto_2365;47;;;;;;
191;Marca_4;Producto_1666;62;;;;;;
1307;Marca_4;Producto_4653;9;;;;;;
3485;Marca_3;Producto_159;33;;;;;;
2553;Marca_1;Producto_3883;10;;;;;;
107;Marca_1;Producto_4939;3;;;;;;
1324;Marca_3;Producto_2433;1;;;;;;
3170;Marca_2;Producto_1468;34;;;;;;
3;Marca_1;Producto_2496;40;;;;;;
706;Marca_5;Producto_2465;11;;;;;;
1550;Marca_4;Producto_223;13;;;;;;
1161;Marca_1;Producto_94;5;;;;;;
2940;Marca_5;Producto_4467;5;;;;;;
3187;Marca_5;Producto_407;9;;;;;;
699;Marca_5;Producto_2234;60;;;;;;
2905;Marca_5;Producto_1893;1;;;;;;
1310;Marca_2;Producto_1201;39;;;;;;
2242;Marca_1;Producto_3840;35;;;;;;
1669;Marca_4;Producto_2974;82;;;;;;
1317;Marca_1;Producto_655;57;;;;;;
1321;Marca_5;Producto_2128;40;;;;;;
3141;Marca_1;Producto_4657;19;;;;;;
3917;Marca_1;Producto_2544;59;;;;;;
3504;Marca_4;Producto_4319;31;;;;;;
1054;Marca_2;Producto_2359;8;;;;;;
1985;Marca_4;Producto_3184;29;;;;;;
426;Marca_5;Producto_449;27;;;;;;
1595;Marca_4;Producto_2556;66;;;;;;
2178;Marca_2;Producto_241;6;;;;;;
418;Marca_4;Producto_653;1;;;;;;
439;Marca_3;Producto_365;2;;;;;;
3936;Marca_1;Producto_1662;2;;;;;;
780;Marca_1;Producto_2153;77;;;;;;
3610;Marca_4;Producto_469;1;;;;;;
1747;Marca_2;Producto_255;70;;;;;;
2983;Marca_5;Producto_778;22;;;;;;
391;Marca_2;Producto_1581;22;;;;;;
575;Marca_5;Producto_71;35;;;;;;
3771;Marca_5;Producto_1153;11;;;;;;
3276;Marca_3;Producto_4662;8;;;;;;
1065;Marca_2;Producto_3479;3;;;;;;
2723;Marca_4;Producto_4743;76;;;;;;
1333;Marca_2;Producto_4797;1;;;;;;
1657;Marca_3;Producto_3618;1;;;;;;
3569;Marca_2;Producto_4097;30;;;;;;
3082;Marca_5;Producto_1420;56;;;;;;
3377;Marca_1;Producto_339;34;;;;;;
1007;Marca_1;Producto_4063;24;;;;;;
1595;Marca_5;Producto_4262;42;;;;;;
1857;Marca_3;Producto_4532;2;;;;;;
3207;Marca_2;Producto_4897;19;;;;;;
8;Marca_2;Producto_2893;3;;;;;;
3255;Marca_2;Producto_4641;5;;;;;;
631;Marca_5;Producto_4935;26;;;;;;
1264;Marca_1;Producto_4692;4;;;;;;
3444;Marca_4;Producto_2145;68;;;;;;
1219;Marca_5;Producto_4242;24;;;;;;
2700;Marca_1;Producto_4417;85;;;;;;
3193;Marca_5;Producto_4145;4;;;;;;
168;Marca_5;Producto_363;5;;;;;;
3636;Marca_5;Producto_4193;1;;;;;;
2571;Marca_1;Producto_3825;54;;;;;;
1040;Marca_2;Producto_3377;22;;;;;;
2092;Marca_3;Producto_1301;84;;;;;;
461;Marca_1;Producto_3042;17;;;;;;
738;Marca_2;Producto_3707;33;;;;;;
3682;Marca_2;Producto_892;76;;;;;;
