Id Cuenta;Marca;Nombre;Cantidad;precioCompra;precioVenta;tipoPedido;;;
1998;Marca_2;Producto_4692;7;1.12003004E7;1.12003004E7;BAJA;;;
3554;Marca_5;Producto_1964;2;1.12003004E7;1.12003004E7;COMPRA;;;
1181;Marca_3;Producto_168;36;1.12003004E7;1.12003004E7;BAJA;;;
2161;Marca_1;Producto_3508;21;1.12003004E7;1.12003004E7;VENTA;;;
219;Marca_1;Producto_3333;2;1.12003004E7;1.12003004E7;COMPRA;;;
3421;Marca_4;Producto_28;21;1.12003004E7;1.12003004E7;ALTA;;;
3672;Marca_4;Producto_2592;12;1.12003004E7;1.12003004E7;VENTA;;;
15;Marca_5;Producto_4353;5;1.12003004E7;1.12003004E7;COMPRA;;;
3664;Marca_5;Producto_4051;79;1.12003004E7;1.12003004E7;ALTA;;;
376;Marca_2;Producto_419;66;1.12003004E7;1.12003004E7;ALTA;;;
3382;Marca_5;Producto_2234;14;1.12003004E7;1.12003004E7;COMPRA;;;
1250;Marca_1;Producto_2784;5;1.12003004E7;1.12003004E7;BAJA;;;
2268;Marca_2;Producto_762;3;1.12003004E7;1.12003004E7;COMPRA;;;
2555;Marca_2;Producto_2678;4;1.12003004E7;1.12003004E7;BAJA;;;
3112;Marca_5;Producto_4997;9;1.12003004E7;1.12003004E7;BAJA;;;
2642;Marca_5;Producto_1504;65;1.12003004E7;1.12003004E7;BAJA;;;
2983;Marca_5;Producto_1032;18;1.12003004E7;1.12003004E7;BAJA;;;
1274;Marca_4;Producto_4722;37;1.12003004E7;1.12003004E7;ALTA;;;
2969;Marca_4;Producto_2330;52;1.12003004E7;1.12003004E7;COMPRA;;;
1021;Marca_3;Producto_4344;5;1.12003004E7;1.12003004E7;BAJA;;;
2000;Marca_3;Producto_2848;3;1.12003004E7;1.12003004E7;COMPRA;;;
1456;Marca_1;Producto_2157;18;1.12003004E7;1.12003004E7;BAJA;;;
204;Marca_2;Producto_4491;23;1.12003004E7;1.12003004E7;COMPRA;;;
